region;zip;name;address;telephone;email;opening_hours;age;summary
Altstadt; 69117; Evangelischer Kindergarten Providenz; Friedrichstr. 4 Heidelberg; (06221) 24568; kita.providenzgemeinde@ekihd.de; 7:30 a.m. a.m. – 2 p.m.; 3 years – until school enrolment;;
Altstadt; 69117; Internationaler Kindergarten des DAI; Friedrich‐Ebert‐Anlage 28 Heidelberg; (06221) 607320; ies@dai‐heidelberg.de; 7:30 a.m. a.m. – 6 p.m. (Fri 5 p.m.);3 years – until school enrolment; Englischsprachige Einrichtung;
Altstadt; 69117; Katholischer Kindergarten St. Christophorus; Bienenstr. 7/1 Heidelberg; (06221) 23124; kiga‐st.christophorus@heidelberg‐neckartal.de;  7:30 a.m. a.m. – 5:30 p.m.; 2,75 years – until school enrolment;;
Altstadt; 69117; Kindergarten »Die Sternchen« gGmbH; Schlossberg 2 Heidelberg; (06221) 6527830; info@diesternchen.de; 7:30 a.m. a.m. – 6 p.m.; 2 years – until school enrolment;;
Altstadt; 69117; Kinderkrippe der Kapellengemeinde; Plöck 49  Heidelberg;  (06221) 149850; kinderkrippe@stadtmission‐hd.de; 7 a.m. – 5 p.m.; 2 month – 3 years; Evangelische Stadtmission Heidelberg e.V;
Altstadt; 69117; Städtische Kita Kanzleigasse; Kanzleigasse 1 Heidelberg ;  (06221) 5837230; kita‐kanzleigasse@heidelberg.de; 7 a.m. – 5 p.m.; 1 year – until school enrolment;;
Altstadt; 69117; Städtische Kita Klingenteichstraße; Klingenteichstr. 24 Heidelberg ;  (06221) 181238; kita‐klingenteichstrasse@heidelberg.de; 7 a.m. – 5 p.m.; 3 years – end of elementary school;;
Altstadt; 69117; Waldkindergarten Riesenstein; Postfach 120437 Heidelberg ;  0160‐93206943; heidi.eisinger@blattwerk‐hd.de; 7:30 a.m. a.m. – 2:30 p.m.; 3 – 6 years; Blattwerk e.V;
Bahnstadt; 69115; First Steps e.V.; Langer Anger 3‐5 Heidelberg ;  (06221) 8904243; first.steps@web.de; 7:30 a.m. a.m. – 5 p.m.; 1 year – until school enrolment; Bilingual (German/English);
Bahnstadt; 69115; Städtische Kita Schwetzinger Terrasse; Langer Anger 27 Heidelberg ;  (6221) 4264660; thilo.domschat@heidelberg.de;  7 a.m. – 5 p.m.;  1 year – until school enrolment;;
Bahnstadt; 69115; Kinderladen Heuhüpfer e.V.; Heiliggeiststr. 17 Heidelberg ;  (06221) 600334; altstadt@heuhuepfer.net; 8 a.m. – 1 p.m., 2 – 6 p.m.;  1 – 3 years;;
Bahnstadt; 69115; Kita KiKu Max‐Planck‐Institut; Saupfercheckweg 1 Heidelberg ; 0911‐470508154; heidelberg‐mpi@kinderzentren.de; 7 a.m. – 7 p.m.; 6 month – until school enrolment; Kinderzentren Kunterbunt gGmbH;
Bergheim; 69115; AWO‐Kita Bergheim; Mittermaierstr. 15 Heidelberg ;  (06221) 182738; kita‐bergheim@awo‐heidelberg.de; Kiga and out of school care: 7 a.m.  – 5 (Fri 3:30) p.m.  / Nursery: 7:30 a.m. a.m. – 4:30 (Fri 3:30) p.m.; 1 – 12 years; Arbeiterwohlfahrt Heidelberg e.V.;
